dummy;;;;;;;;;x
EVTNAME16452;A House Divided;;;;;;;;;x;;;;
EVTDESC16452;A house divided against itself cannot stand. I believe this government cannot endure, permanently, half slave and half free. I do not expect the Union to be dissolved. I do not expect the house to fall, but I do expect it will cease to be divided. It will become all one thing or all the other.' -- Abraham Lincoln\n\nIt is over. All attempts at compromise, the efforts of decades of public discourse on the issue of slavery, have failed. This morning the congressmen from the Northern states resigned their offices, and the free states declared secession from the perpetual Union. A northern wind blows hard on our house divided.;;;;;;;;;x
EVTOPTA16452;Uh oh..;;;;;;;;;x;;;;
EVTNAME16251;A storm is brewing...;;;;;;;;;x;;;;
EVTDESC16251;The American Civil war is reworked in this mod, the gist of it is that slavery can be abolished like any other government reform, however if it is abolished, the civil war will start immediately.\n\n§RIf slavery is not abolished by 1855 however, the northern states will secede as the Free States of America.;;;;;;;;;x;;;;
EVTOPTA16251;Unfortunate.;;;;;;;;;x;;;;
EVTNAME69000;The State of the Ottoman Empire;;;;;;;;;x;;;;
EVTDESC69000;The Ottoman empire has been in a constant state of decline for decades. Now we have finally been pushed into only Anatolia, and need to start planning how we shall reclaim our greatness. We could either focus our efforts on reclaiming our great european empire, or on reclaiming the vast lands to the south. What direction will the Empire go next?;;;;;;;;;x;;;;
EVTOPTA69000;We shall go West. (Grants Greek & Bulgarian as accepted via decisions);;;;;;;;;x;;;;
EVTOPTB69000;We shall go South. (Grants Bedouin, Misri, and Caucasian as accepted via decisions);;;;;;;;;x;;;;
EVTNAME69005;The Expansion of the South;;;;;;;;;x;;;;
EVTDESC69005;Since our conquest of Texas from Mexico, the region has been quickly integrated into the rest of the Southern states. Unfortunately, this also comes with the rebel sentiment of the South, which may lead to problems in the area in future...;;;;;;;;;x;;;;
EVTOPTA69005;What could go wrong?;;;;;;;;;x;;;;
EVTNAME69006;Reconstruction;;;;;;;;;x;;;;
EVTDESC69006;The civil war is over and many are asking for the liberation of the southern blacks by a radical reconstruction. However, many in the south are alarmed at such a prospect, and want to keep the former slaves as an underclass in the region.;;;;;;;;;x;;;;
EVTOPTA69006;We shall help these people.;;;;;;;;;x;;;;
EVTOPTB69006;The South shall be as it always has been.;;;;;;;;;x;;;;
EVTNAME69002;The Abolition of Slavery;;;;;;;;;x;;;;
EVTDESC69002;After fighting the northern states, we have gone back on our promise to the southern states and have abolished slavery. This has caused massive rioting in the south. Our cabinet has two ideas of how to deal with this: either cut our losses and promise to not interfere with the southern system from this point onwards, or push for full equal rights between the races.;;;;;;;;;x;;;;
EVTOPTA69002;The South shall be as it always has been.;;;;;;;;;x;;;;
EVTOPTB69002;We shall help these people;;;;;;;;x;;;;
EVTNAME69001;Province Selector;;;;;;;;;x;;;;
EVTDESC69001;You may build a province selector in your provinces to impart effects upon it.\n\nThis includes a powerful assimilation focus that will assimilate the province regardless of the cores there, which you can use on one state. Core states of yours will always assimilate, but the focus allows for non-core states to assimilate (and provides a bonus if you want to assimilate a core state). The rate of assimilation will be equal in both a core state with this focus and a non-core state with the focus. There is also a migration attraction focus that will make internal migrants go to the selected state, so you can get a few core pops there to begin assimilation.;;;;;;;;;x;;;;
EVTOPTA69001;I understand.;;;;;;;;;x;;;;
EVTNAME69007;$FROMCOUNTRY$ Requests Unoccupation;;;;;;;;;x;;;;
EVTDESC69007;$FROMCOUNTRY$ is requesting that we unoccupy §RALL§! provinces owned by them that are currently occupied by us. Don't accept unless you intend to surrender.;;;;;;;;;x;;;;
EVTOPTA69007;We §GAccept§! the Unoccupation Request.;;;;;;;;;x;;;;
EVTOPTB69007;We §RDecline§! the Unoccupation Request.;;;;;;;;;x;;;;
EVTNAME69008;Our Request for Unoccupation has been Accepted!;;;;;;;;;x;;;;
EVTDESC69008;Either our enemies are surrendering, or they just fucked up big time. Either way, it's a win for us! Unless that means we have to rehost.;;;;;;;;;x;;;;
EVTOPTA69008;Hooray!;;;;;;;;;x;;;;
EVTNAME69009;Our Request for Unoccupation has been Declined!;;;;;;;;;x;;;;
EVTDESC69009;\n\n\n\n                           ):;;;;;;;;;x;;;;
EVTOPTA69009;Disappointing.;;;;;;;;;x;;;;
EVTNAME69010;Russian Expansionism;;;;;;;;;x;;;;
EVTDESC69010;Our expansionism has been known for many years, however we are now presented with a dillema. Do we focus on claiming the polish lands and people, or focus on Central Asia & the Caucuses?;
EVTOPTA69010;We will focus on the East. §G(Grants Caucasian & Kazakh as accepted by decision);
EVTOPTB69010;We will focus on the West. §G(Grants Polish as accepted by decision);
EVTNAME69011;Uncivilized Mobilization;;;;;;;;;x;;;;
EVTDESC69011;Uncivilized nations can mobilize in this mod if they have the correct national value (by default you can).;;;;;;;;;x;;;;
EVTOPTA69011;Okay;;;;;;;;;x;;;;
EVTNAME69012;China;;;;;;;;;x;;;;
EVTDESC69012;China gets a debuff to research points on conquest, and you will get special CBs on the other chinese nations when it turns 1837.;;;;;;;;;x;;;;
EVTOPTA69012;Okay;;;;;;;;;x;;;;
EVTNAME69013;Civilized China;;;;;;;;;x;;;;
EVTDESC69013;We have civilized. We now have debuffs.;;;;;;;;;x;;;;
EVTOPTA69013;Okay;;;;;;;;;x;;;;
EVTNAME69014;Uncivilized China;;;;;;;;;x;;;;
EVTDESC69014;Since we have uncivilized, we lose the civilized China debuffs and gain back the uncivilized China debuff.;;;;;;;;;x;;;;
EVTOPTA69014;Okay;;;;;;;;;x;;;;
EVTNAME69015;National Idea Reminder;;;;;;;;;x;;;;
EVTDESC69015;You may now take another national idea from the decisions menu.;;;;;;;;;x;;;;
EVTOPTA69015;Great news!;;;;;;;;;x;;;;
EVTNAME69016;The end of the Civil War;;;;;;;;;x;;;;
EVTDESC69016;We have finally defeated the northern traitors!;;;;;;;;;x;;;;
EVTOPTA69016;Now is the time for healing and reconciliation.;;;;;;;;;x;;;;
EVTNAME69017;The Mexican State;;;;;;;;;x;;;;
EVTDESC69017;Despite our instability, we understand that a storm is coming. Knowing that the Americans are soon to come knocking, we have militarized society in preparation either for the coming storm or for a preemptive strike.;;;;;;;;;x;;;;
EVTOPTA69017;Great!;;;;;;;;;x;;;;
EVTNAME69018;The Canadian State;;;;;;;;;x;;;;
EVTDESC69018;Here in the frigid north, we understand that a storm is coming. Knowing that the Americans are soon to come knocking, we have militarized society in preparation either for the coming storm or for a preemptive strike.;;;;;;;;;x;;;;
EVTOPTA69018;Great!;;;;;;;;;x;;;;
EVTNAME69019;The Corn Laws;;;;;;;;;x;;;;
EVTDESC69019;The Corn Laws were a set of laws blocking import of cheap corn.;;;;;;;;;x;;;;
EVTOPTA69019;Ok.;;;;;;;;;x;;;;
EVT69020;this event is taken by background.;;;;;;;;;x;;;;
EVT69021;this event is taken by background.;;;;;;;;;x;;;;
EVT69022;this event is taken by background.;;;;;;;;;x;;;;
EVT69023;this event is taken by background.;;;;;;;;;x;;;;
EVT69024;this event is taken by background.;;;;;;;;;x;;;;
EVTNAME69025;Scripted Generals;;;;;;
EVTDESC69025;This event provides you with scripted generals. It only works in 1840 and before and for players, so the ai wont have these and players taking over countries in the mid-late game wont get these either.;;;;;;
EVTOPTA69025;Thanks!;;;;;;
EVTNAME69026;Release Vassals;;;;;;
EVTDESC69026;This event sends an event to each of your vassals, they will send an event back to you for each of them that will let you decide if you want to release that vassal.;;;;;;
EVTOPTA69026;Okay;;;;;;
EVTOPTB69026;Nevermind;;;;;;
EVTNAME69027;Overlord may release us;;;;;;
EVTDESC69027;Your overlord has clicked the release vassals button. They may choose to release or not release each vassal individually.;;;;;;
EVTOPTA69027;We will see...;;;;;;
EVTNAME69028;Release $FROMCOUNTRY$ ?;;;;;;
EVTDESC69028;$FROMCOUNTRY$ is requesting for us to release them from their vassal status.;;;;;;
EVTOPTA69028;We Accept;;;;;;
EVTOPTB69028;Never, $FROMCOUNTRY$ Scum!;;;;;;
EVTNAME69029;$PROVINCENAME$ Province Selector Menu;;;;;;
EVTDESC69029;1. Attract Migration - Makes internal migrants go to that state more often.\n2. Assimilate - Assimilates this state, regardless of cores. Accelerates provinces that would already assimilate.\n3. Economic Aid Campaign - state-level 4 year modifier with following effects: ruling party support +15%, -0.25 pop militancy, +5% factory throughput, +2% factory output, -2% factory input, +5% RGO output.;;;;;;
EVTOPTA69029;Attract Migration (1 per country, affects entire state);;;;;;
EVTOPTB69029;Assimilate (1 per country, affects entire state);;;;;;
EVTOPTD69029;Economic Aid Campaign (§R-$250k§!);;;;;;
EVTOPTC69029;Nevermind.;;;;;;;
EVTNAME69030;Remove Assimilation Focus;;;;;;
EVTDESC69030;You have inherited a province with an assimilation focus. This event removes the focus from the province.;;;;;;
EVTOPTA69030;Okay.;;;;;;
EVTNAME69031;The British Army;;;;;;
EVTDESC69031;We have prioritized quality in our army, however the population would be extremely unhappy to be mobilized.;;;;;;
EVTOPTA69031;Okay;;;;;;
EVT69032;event taken by background;;;;;;
EVT69033;event taken by background;;;;;;
EVTNAME69034;Generals;;;;;;
EVTDESC69034;This event gives you leadership to roll generals.;;;;;;
EVTOPTA69034;Thanks!;;;;;;
EVT69035;event taken by background;;;;;;
EVTNAME69036;Japan Requests Sphere;;;;;;
EVTDESC69036;The Japanese are requesting that we sphere them.;;;;;;
EVTOPTA69036;Sure!;;;;;;
EVTOPTB69036;I think not.;;;;;;
EVTNAME69037;Constitutionalism Invented!;;;;;;
EVTDESC69037;This event sets a flag that you have invented Constitutionalism for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69037;Great!;;;;;;
EVTNAME69038;Individualism Invented!;;;;;;
EVTDESC69038;This event sets a flag that you have invented Individualism for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69038;Great!;;;;;;
EVTNAME69039;Meritocracy Invented!;;;;;;
EVTDESC69039;This event sets a flag that you have invented Meritocracy for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69039;Great!;;;;;;
EVTNAME69040;National Fraternity Invented!;;;;;;
EVTDESC69040;This event sets a flag that you have invented National Fraternity for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69040;Great!;;;;;;
EVTNAME69041;Women's Suffrage Movement Invented!;;;;;;
EVTDESC69041;This event sets a flag that you have invented Women's Suffrage Movement for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69041;Great!;;;;;;
EVTNAME69042;Police State Invented!;;;;;;
EVTDESC69042;This event sets a flag that you have invented Police State for the purposes of affecting pop promotion rates.;;;;;;
EVTOPTA69042;Great!;;;;;;
EVTNAME69043;Healthcare Privatization;;;;;;
EVTDESC69043;Our healthcare system is undergoing privatization. (You cannot have your current level of healthcare investment while having private healtcare);;;;;;
EVTOPTA69043;Ok;;;;;;
EVTNAME69044;Healthcare Privatization;;;;;;
EVTDESC69044;Our healthcare system is undergoing privatization. (You cannot have your current level of healthcare investment while having mixed healtcare);;;;;;
EVTOPTA69044;Ok;;;;;;
EVTNAME69045;Education Privatization;;;;;;
EVTDESC69045;Our education system is undergoing privatization. (You cannot have your current level of education investment while having private education);;;;;;
EVTOPTA69045;Ok;;;;;;
EVTNAME69046;Education Privatization;;;;;;
EVTDESC69046;Our education system is undergoing privatization. (You cannot have your current level of education investment while having subsidized education);;;;;;
EVTOPTA69046;Ok;;;;;;
EVTNAME69047;The Great War Begins;;;;;;
EVTDESC69047;The world falls into fire! Some may say, falmes!\n§RIt is reccomended that all player nations add this cb on eachother so no event-based surrenders can end the war.;;;;;;
EVTOPTA69047;Here we go!;;;;;;
EVTNAME69048;The Collapse of the British Empire;;;;;;
EVTDESC69048;With the fall of London and our people weary, we turn to the negotiation table as our colonial holdings collapse.;;;;;;
EVTOPTA69048;Bollocks!;;;;;;
EVTNAME69049;The Collapse of the Russian Empire;;;;;;
EVTDESC69049;As the west falls into foreign hands and our people grow tired of war, the Russian Empire fully collapses. We turn to the negotiating table with the west as we fall into civil war.;;;;;;
EVTOPTA69049;cyka blyat (play as empire);;;;;;
EVTOPTB69049;cyka blyat (play as communists, you will fight civil war after month tick);;;;;;
EVTNAME69050;Revolution begins!;;;;;;
EVTDESC69050;Our glorious revolution has begun!;;;;;;
EVTOPTA69050;Drive the reactionaries out!;;;;;;
EVTNAME69051;Revolution successful!;;;;;;
EVTDESC69051;We're so back!;;;;;;
EVTOPTA69051;We did it!;;;;;;
EVTNAME69052;Revolution crushed!;;;;;;
EVTDESC69052;We're so back!;;;;;;
EVTOPTA69052;We did it!;;;;;;
EVTNAME69053;The Surrender at Paris;;;;;;
EVTDESC69053;With the enemy in Paris and our people on the edge of revolution, we are forced to sign a peace treaty.;;;;;;
EVTOPTA69053;Sacre Bleu!;;;;;;
EVTNAME69054;Belgium Overrun;;;;;;
EVTDESC69054;We have been overrun by the Germans. We are forced to sign a treaty handing over our colonies, borderlands, and independence.;;;;;;
EVTOPTA69054;Damn.;;;;;;
EVTNAME69055;The Fall of Italy;;;;;;
EVTDESC69055;With the enemy having captured rome, and as our people tire of war, we are forced to sign a peace treaty. We shall lose our colonial holdings as well as Venice and Lombardia. Soon after the treaty was signed, the fascists marched on Rome and took over the government.;;;;;;
EVTOPTA69055;Should have attacked the mountains more!;;;;;;
EVTNAME69056;The Second American Civil War;;;;;;
EVTDESC69056;When we entered the Great War, nobody expected the enemy to reach our homeland. However, that has changed with the fall of Washington D.C. and New York, forcing us to sign a peace treaty. Dissatisfaction with the government has reached an all-time high, as southern and northern governors are pledging allegiance to rival seperatist governments.;;;;;;
EVTOPTA69056;Once more unto the breach...;;;;;;
EVTNAME69057;Demote Unaccepted Bureaucrats;;;;;;
EVTDESC69057;Demotes Unaccepted Bureaucrats;;;;;;
EVTOPTA69057;Begone!;;;;;;
EVTNAME69058;The Russian Army;;;;;;
